v1	V(n001)	I(D1)
-8.939999999999970e-02	-8.940000e-02	-2.169655e-09
-8.929999999999970e-02	-8.930000e-02	-2.168880e-09
-8.919999999999970e-02	-8.920000e-02	-2.168104e-09
-8.909999999999969e-02	-8.910000e-02	-2.167327e-09
-8.899999999999969e-02	-8.900000e-02	-2.166547e-09
-8.889999999999969e-02	-8.890000e-02	-2.165766e-09
-8.879999999999968e-02	-8.880000e-02	-2.164983e-09
-8.869999999999968e-02	-8.870000e-02	-2.164199e-09
-8.859999999999968e-02	-8.860000e-02	-2.163412e-09
-8.849999999999968e-02	-8.850000e-02	-2.162624e-09
-8.839999999999967e-02	-8.840000e-02	-2.161834e-09
-8.829999999999967e-02	-8.830000e-02	-2.161043e-09
-8.819999999999967e-02	-8.820000e-02	-2.160250e-09
-8.809999999999966e-02	-8.810000e-02	-2.159454e-09
-8.799999999999966e-02	-8.800000e-02	-2.158658e-09
-8.789999999999966e-02	-8.790000e-02	-2.157859e-09
-8.779999999999966e-02	-8.780000e-02	-2.157059e-09
-8.769999999999965e-02	-8.770000e-02	-2.156257e-09
-8.759999999999965e-02	-8.760000e-02	-2.155453e-09
-8.749999999999965e-02	-8.750000e-02	-2.154647e-09
-8.739999999999964e-02	-8.740000e-02	-2.153840e-09
-8.729999999999964e-02	-8.730000e-02	-2.153030e-09
-8.719999999999964e-02	-8.720000e-02	-2.152220e-09
-8.709999999999964e-02	-8.710000e-02	-2.151407e-09
-8.699999999999963e-02	-8.700000e-02	-2.150592e-09
-8.689999999999963e-02	-8.690000e-02	-2.149776e-09
-8.679999999999963e-02	-8.680000e-02	-2.148957e-09
-8.669999999999962e-02	-8.670000e-02	-2.148137e-09
-8.659999999999962e-02	-8.660000e-02	-2.147316e-09
-8.649999999999962e-02	-8.650000e-02	-2.146492e-09
-8.639999999999962e-02	-8.640000e-02	-2.145667e-09
-8.629999999999961e-02	-8.630000e-02	-2.144839e-09
-8.619999999999961e-02	-8.620000e-02	-2.144010e-09
-8.609999999999961e-02	-8.610000e-02	-2.143179e-09
-8.599999999999960e-02	-8.600000e-02	-2.142347e-09
-8.589999999999960e-02	-8.590000e-02	-2.141512e-09
-8.579999999999960e-02	-8.580000e-02	-2.140676e-09
-8.569999999999960e-02	-8.570000e-02	-2.139837e-09
-8.559999999999959e-02	-8.560000e-02	-2.138997e-09
-8.549999999999959e-02	-8.550000e-02	-2.138155e-09
-8.539999999999959e-02	-8.540000e-02	-2.137311e-09
-8.529999999999958e-02	-8.530000e-02	-2.136466e-09
-8.519999999999958e-02	-8.520000e-02	-2.135618e-09
-8.509999999999958e-02	-8.510000e-02	-2.134769e-09
-8.499999999999958e-02	-8.500000e-02	-2.133917e-09
-8.489999999999957e-02	-8.490000e-02	-2.133064e-09
-8.479999999999957e-02	-8.480000e-02	-2.132209e-09
-8.469999999999957e-02	-8.470000e-02	-2.131352e-09
-8.459999999999956e-02	-8.460000e-02	-2.130493e-09
-8.449999999999956e-02	-8.450000e-02	-2.129632e-09
-8.439999999999956e-02	-8.440000e-02	-2.128770e-09
-8.429999999999956e-02	-8.430000e-02	-2.127905e-09
-8.419999999999955e-02	-8.420000e-02	-2.127038e-09
-8.409999999999955e-02	-8.410000e-02	-2.126170e-09
-8.399999999999955e-02	-8.400000e-02	-2.125300e-09
-8.389999999999954e-02	-8.390000e-02	-2.124428e-09
-8.379999999999954e-02	-8.380000e-02	-2.123553e-09
-8.369999999999954e-02	-8.370000e-02	-2.122677e-09
-8.359999999999954e-02	-8.360000e-02	-2.121799e-09
-8.349999999999953e-02	-8.350000e-02	-2.120919e-09
-8.339999999999953e-02	-8.340000e-02	-2.120037e-09
